school_id,year,name,medical-exemptions,religious-exemptions,polio,measles,mumps,rubella,diphtheria,hepb,varicella,completely-immunized,street,city,county,state,zip,latitude,longitude,address,address2
3.43E+11,2014-2015,Yeshiva Tifereth Moshe,0,1.01,98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.7,83 06 ABINGDON ROAD,KEW GARDENS,QUEENS,NY,11415,40.707622,-73.834152,"83 06 ABINGDON ROAD, KEW GARDENS, NY, 11415","8306 Abingdon Rd, Kew Gardens, NY 11415"
3.43E+11,2014-2015,St. Clare School,0,0,100,100,100,100,100,100,100,100,137-25 BROOKVILLE BLVD,QUEENS,QUEENS,NY,11422,40.6691746,-73.7363794,"137-25 BROOKVILLE BLVD, QUEENS, NY, 11422","137-25 Brookville Blvd, Queens, NY, 11422"
3.43E+11,2014-2015,Immaculate Conception School,0,0,99.8,99.8,99.8,99.8,99.8,100,100,99.5,179 14 DALNY RD,JAMAICA,QUEENS,NY,11432,40.715225,-73.784431,"179 14 DALNY RD, JAMAICA, NY, 11432","17914 Dalny Rd, Jamaica, NY 11432"
3.43E+11,2014-2015,Ss. Joachim & Anne School,0,0.23,99.1,99.1,99.1,99.1,99.1,98.8,99.1,98.8,218-19 105TH AVENUE,QUEENS,QUEENS,NY,11429,40.712435,-73.738825,"218-19 105TH AVENUE, QUEENS, NY, 11429","218-19 105th Avenue, Queens, NY, 11429"
3.43E+11,2014-2015,Archbishop Molloy H S,0.07,0.13,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,83-53 MANTON STREET,QUEENS,QUEENS,NY,11435,40.710847,-73.820098,"83-53 MANTON STREET, QUEENS, NY, 11435","83-53 Manton Street, Queens, NY, 11435"
3.43E+11,2014-2015,Our Lady Of Lourdes School,0,0,100,100,100,100,100,100,100,100,92-80 220TH ST,QUEENS,QUEENS,NY,11428,40.723496,-73.736593,"92-80 220TH ST, QUEENS, NY, 11428","92-80 220th St, Queens, NY, 11428"
3.43E+11,2014-2015,St. Josephs Parish Day School,0,0,100,95.2,95.2,95.2,97.6,100,88,81.9,21755 100TH AVE,QUEENS,QUEENS,NY,11429,40.715481,-73.739314,"21755 100TH AVE, QUEENS, NY, 11429","21755 100th Ave, Queens, NY 11429"
3.43E+11,2014-2015,Stepping Stone Of Southeastern Queen,0,0,100,100,100,100,100,100,100,100,114-28 FRANCIS LEWIS BOULEVARD,ST. ALBANS,QUEENS,NY,11411,40.7007556,-73.7483078,"114-28 FRANCIS LEWIS BOULEVARD, ST. ALBANS, NY, 11411","114-28 Francis Lewis Blvd, Cambria Heights, NY 11411"
3.43E+11,2014-2015,Elishama Children's Prep School,0,0,100,100,100,100,100,100,100,100,20618 HOLLIS AVENUE,QUEENS VILLAGE,QUEENS,NY,11429,40.707336,-73.750321,"20618 HOLLIS AVENUE, QUEENS VILLAGE, NY, 11429","Hollis Ave, Hollis, NY 11423"
3.43E+11,2014-2015,Immaculate Conception School,0.49,0,98.5,98,98,98,98,99.5,99,94.6,21-47 29TH ST,QUEENS,QUEENS,NY,11105,40.776962,-73.911056,"21-47 29TH ST, QUEENS, NY, 11105","21-47 29th St, Queens, NY, 11105"
3.43E+11,2014-2015,St. Joan Of Arc School,0,0.33,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,3527 82ND ST,QUEENS,QUEENS,NY,11372,40.751572,-73.884357,"3527 82ND ST, QUEENS, NY, 11372","3527 82nd St, Queens, NY, 11372"
3.43E+11,2014-2015,Most Precious Blood School,0.53,0.53,93.7,98.9,98.9,98.9,95.8,98.9,97.9,93.2,32-52 37TH ST,QUEENS,QUEENS,NY,11103,40.7585357,-73.9216369,"32-52 37TH ST, QUEENS, NY, 11103","32-52 37th St, Queens, NY, 11103"
