state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
IL,0,0,27659.1,20616,34665.57,45650.48,129964.69,86174.54,106130.92,95763,54592.16,74825.67,8040.5,684082.63,-89.202674,40.061203,Illinois
IN,0,0,31790,13150,22603.21,31337.96,71582.8,49684.63,59662.27,135912.59,45900.18,67091.87,6372.26,535087.77,-86,39.902306,Indiana
IA,0,0,22997.77,25450,23941.8,34541.16,54601.64,21826.48,41848.98,38912.64,23187.43,38420.6,1989,327717.5,-93.506079,42.083992,Iowa
KS,0,0,6810,14470,15853.8,59982.32,77966.8,37075.4,42527.28,27589.72,27071.74,40882.56,4956.16,355185.78,-98.380047,38.482145,Kansas
KY,0,0,6430,5435,6292.16,23645.09,35529.41,29819.12,32970,18652.56,16822.61,26340.03,2309,204244.98,-84.7,37.513983,Kentucky
LA,0,0,12185,12215,31054.96,26409.16,57028.48,73980.34,30442.16,57052.16,17824.82,30026.82,1625,349843.9,-91.956502,31.048572,Louisiana
ME,0,0,2575,2765,5572.32,4013,7865.16,5924.16,11400.16,8044,9044.11,13046,1372,71620.91,-69.217654,45.336854,Maine
MD,0,0,24184.84,40127.22,24886.3,49637.26,104228.25,92066.07,86096.48,67274.45,40345.72,72068.43,9746.5,610661.52,-76.768453,39.032646,Maryland
MA,0,0,9555,6730.16,11272.48,30218.84,92375.09,18509.16,31099.54,17011,15899.81,29806.67,1887.69,264365.44,-71.733952,42.237892,Massachusetts
MI,0,0,51991,39889.44,45886.28,116511.84,215916.05,120722.47,113565.03,90125.54,66325.18,125908.75,13860.25,1000701.83,-84.5,43,Michigan
MN,0,0,29353.77,17232.66,19099.32,38287.32,71258.09,47797.56,52955.88,38882.82,39364.48,60344.38,9127,423703.28,-94.296494,46,Minnesota
MS,0,0,9775,6220,9338.64,18889.32,29294.14,26052.96,27225.66,15651,12259,26641.75,1995.5,183342.97,-89.661244,32.767379,Mississippi
MO,0,0,18480,27864.91,29717.8,46128.64,86453.16,142568.01,162402.96,57892.48,37755.54,68659.37,4671.5,682594.37,-92.480117,38.379759,Missouri
MT,0,0,6965,5000,13937.16,18790,37086.13,34930.41,29740.25,22239.16,14554,23823.99,3682.5,210748.6,-109.657143,47.048656,Montana
NE,0,0,7329.85,5300,18785.64,22001.16,25197.98,18467.7,24448.01,20397.16,18060,27665.98,3136.32,190789.8,-99.813973,41.523428,Nebraska
NV,0,0,22550,12690.64,10674.12,40968.32,43251.42,41397.67,36190.43,49298.47,19734.71,33153.7,1237,311146.48,-116.649615,39.347228,Nevada
NH,0,0,3400,3220,4792.32,9606.32,21355,12868,14824,9920,7276.5,15026.1,1262,103550.24,-71.563059,43.69196,New Hampshire
NJ,0,0,16535,17475,10484.28,50510.16,69027.32,92189.82,56546.16,38705.16,27266.32,41625.04,2811,423175.26,-74.669503,40.205609,New Jersey
NM,0,0,6050,5205,6269.48,16042.48,24278.32,23445.16,30404.74,17850.14,14949.16,30154.41,1875.5,176524.39,-106.087356,34.416615,New Mexico
NY,0,0,34052,22825.48,18480.12,59434.64,131894.12,107385.42,89013.01,46999.53,45749.61,76773.49,5346,637953.42,-75.502933,42.927867,New York
NC,0,0,31077,41158,51216.6,131338.44,319222.6,137330.41,91061.29,73331.32,105199.88,92691.02,12809,1086435.56,-79.251255,35.536226,North Carolina
ND,0,0,4240,1535,2638.32,5424,9253.16,16166.32,12861.27,8525.32,5912.16,9248.49,820,76624.04,-100.483902,47.461886,North Dakota
OH,0,0,24610.16,26465.48,45051.42,62572.96,118484.05,89970.25,88508.52,58764.22,60560.38,96892.31,8061.8,679941.55,-82.5,40,Ohio
OK,0,0,21111,16411,15946.96,46756.8,68548.28,79302.48,75451.27,64413.48,36769.56,59114.66,5943.35,489768.84,-97.502839,35.58171,Oklahoma
OR,0,0,30049.12,15190,21907.82,25123.64,67136.16,41266.8,56914.16,52438.16,28336.22,80491.82,-15143,403710.9,-120.537708,43.944367,Oregon
PA,0,0,34555.16,45324.82,36449.47,78456.96,128196.96,120056.38,142622.32,73324.46,76522.94,136401.4,9824.5,881735.37,-77.807272,40.874089,Pennsylvania
RI,0,0,370,350,1448.57,3012.16,3245.16,3426.16,6023,1757,2404,2678,102,24816.05,-71.531002,41.682406,Rhode Island
SC,0,0,27755.16,14885.16,22355.12,52510.56,114674.8,46237.36,52969.44,42853.64,37922.68,52895.03,3677.16,468736.11,-80.883023,33.900651,South Carolina
SD,0,0,15435,23075,5114.16,7613,21622,13584,13525.8,9201,5684.95,14281.6,1836,130972.51,-100.22772,44.44542,South Dakota
TN,0,0,27985,21656,32409.24,89698.48,150651.22,172398.71,186533.64,60449.43,41404.14,103734.08,9043.69,895963.63,-86.322209,35.838538,Tennessee
TX,0,0,154596,141021.41,120910.59,329323.88,606913.48,579961.15,491796.83,308872.33,173721.14,313636.44,21742.9,3242496.15,-98.5,31.3,Texas
UT,0,0,11155,7655,6452.8,14835.48,28666.14,24051.32,19442.73,14692,11912.16,24890,1331,165083.63,-111.669552,39.329209,Utah
VT,0,0,2290,985,3060.16,2638,3493,1603,5210.3,2911.8,3626.35,5098.05,289.2,31204.86,-72.662015,44.07374,Vermont
VA,0,0,31470.05,49030.32,32291.4,68889.3,122456.86,141265.4,199955.6,95896.52,51550.62,81754.23,5047.5,879607.8,-78.810097,37.507621,Virginia
WA,0,0,38450,22563.16,31300.6,47068.12,110409.26,89471.28,101592.49,72029.16,60937.88,113553.73,9265.5,696641.18,-120.398462,47.380244,Washington
WV,0,0,3635,3590,4423,5205.16,12858.82,9885.12,14509.32,8600.32,5886.16,9483.48,823,78899.38,-80.610605,38.644907,West Virginia
WI,0,0,17750,15535,22890.64,41938.16,47999.16,38424.8,43234.16,59227,28571,46686.94,4946,367202.86,-89.7,44.5,Wisconsin
WY,0,0,7680,4005,11032.16,61273,33838,13114.16,24932,9180.13,8962,21167,3505,198688.45,-107.553549,43.027008,Wyoming
