"ID","WindForce","Cliwoc.Class","Beaufort","mps"
"143","BONANCIBLE Y VARIABLE","2","4","6.69999981"
"144","BONANCIBLE. A LAS 19:00 SE PUSO CALMA","2","4","6.69999981"
"145","bonancibles","2","4","6.69999981"
"146","BONANCIBLOE","2","4","6.69999981"
"147","BONANCILE","2","4","6.69999981"
"148","BONANOCHECIÓ","8",NA,NA
"149","BONANZA","2","4","6.69999981"
"150","BONANZA / FRESCO","2","4","6.69999981"
"151","BONANZA Y CALMA","2","4","6.69999981"
"152","BONANZAS","2","4","6.69999981"
"153","BONANZIBLE","2","4","6.69999981"
"154","BORRASCOSO","4","11","30.8999996"
"155","BORRASCOSO Y FUERTE","4","11","30.8999996"
"156","BRISA","2","2","2.5999999"
"157","BRISA ALEGRE","8",NA,NA
"158","BRISA ALGO FRESCA","3","6","12.3000002"
"159","BRISA BASTANTE FRESCA","3","6","12.3000002"
"160","BRISA BONANCIBLE","2","4","6.69999981"
"161","BRISA BONANCIBLE ENTABLADA","2","4","6.0999999"
"162","BRISA BORRASCOSA","4","11","30.8999996"
"163","BRISA BUENA","8",NA,NA
"164","BRISA CALMOSA","2","2","2.5999999"
"165","BRISA CLARA","8",NA,NA
"166","BRISA CON VENTOLINAS","8",NA,NA
"167","BRISA CONSTANTE","8",NA,NA
"168","BRISA DESIGUAL","8",NA,NA
"169","BRISA ENTABLADITA","8",NA,NA
"170","BRISA ESCASA","8",NA,NA
"171","BRISA FLOGITA","2","2","2.5999999"
"172","BRISA FLOJA","2","3","4.5999999"
"173","BRISA FLOJITA","2","2","2.5999999"
"174","BRISA FRESCA","3","6","12.3000002"
"175","BRISA FRESCACHONA","3","7","15.3999996"
"176","BRISA FRESQUITA","3","5","9.30000019"
"177","BRISA FRESQUITA Y CLARA","3","5","9.30000019"
"178","BRISA FRESQUITO","3","5","9.30000019"
"179","BRISA FRESQUITO ENTABLADA","3","5","8.69999981"
"180","BRISA FUERZA VARIA","8",NA,NA
"181","BRISA GALENA","8",NA,NA
"182","BRISA LIGERA","8",NA,NA
"183","BRISA MAS FRESCA","3","6","13.1000004"
"184","BRISA MÁS FRESCA","3","6","13.1000004"
"185","BRISA MAS VONANCIBLE","2","4","7.30000019"
"186","BRISA MEDIANAMENTE FRESCA","3","6","12.3000002"
"187","BRISA MENOS FRESCA","8",NA,NA
"188","BRISA MUI FRESCA","3","6","13.1000004"
"189","BRISA MUY BONANCIBLE","2","4","6.69999981"
"190","BRISA MUY FLOJA","2","2","2.5999999"
