state,st,disease,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Washington, DC",DC,Pertussis,14,11,8,4,3,1,1,3,1,2,4,13,,,,,,,,,
West Virginia,WV,Pertussis,8,6,1,7,6,7,6,3,6,35,28,51,,,,,,,,,
Alabama,AL,Pertussis,65,35,38,26,34,27,21,20,37,37,19,49,,,,,,,,,
Kentucky,KY,Pertussis,38,60,27,142,74,95,49,63,96,103,53,98,,,,,,,,,
Mississippi,MS,Pertussis,1,12,3,10,11,6,3,4,5,9,15,17,,,,,,,,,
Tennessee,TN,Pertussis,183,22,209,24,40,40,45,45,70,124,83,173,,,,,,,,,
Arkansas,AR,Pertussis,18,33,59,14,62,93,26,44,858,488,92,95,,,,,,,,,
Louisiana,LA,Pertussis,14,15,22,15,21,13,9,21,12,7,11,23,,,,,,,,,
Oklahoma,OK,Pertussis,86,38,44,21,60,33,43,60,43,135,106,120,,,,,,,,,
Texas,TX,Pertussis,121,160,217,151,233,288,152,327,615,1240,670,1184,,,,,,,,,
Arizona,AZ,Pertussis,70,122,164,33,45,241,139,143,690,717,211,278,,,,,,,,,
Colorado,CO,Pertussis,187,228,149,336,415,357,313,488,389,465,372,1184,,,,,,,,,
Idaho,ID,Pertussis,101,172,116,115,570,263,146,64,171,151,82,66,,,,,,,,,
Montana,MT,Pertussis,11,12,9,37,18,17,2,35,54,10,5,84,,,,,,,,,
Nevada,NV,Pertussis,5,3,119,41,51,41,14,15,41,48,35,53,,,,,,,,,
New Mexico,NM,Pertussis,43,35,148,64,198,100,155,91,137,200,78,158,,,,,,,,,
Utah,UT,Pertussis,45,37,37,26,29,297,58,47,78,115,127,276,,,,,,,,,
Wyoming,WY,Pertussis,2,0,1,8,7,8,2,4,1,11,130,35,,,,,,,,,
Alaska,AK,Pertussis,5,0,1,3,16,15,5,21,16,7,67,14,,,,,,,,,
California,CA,Pertussis,619,594,531,780,483,1085,1144,631,706,1120,1255,1109,,,,,,,,,
Hawaii,HI,Pertussis,14,19,61,35,19,26,51,41,42,30,12,30,,,,,,,,,
Oregon,OR,Pertussis,106,106,67,64,48,89,61,110,57,188,438,627,,,,,,,,,
Washington,WA,Pertussis,91,140,491,830,481,407,739,458,184,575,844,842,,,,,,,,,
USA,USA,Varicella,134722,151219,120624,83511,98727,82455,46016,27382,22536,22841,20948,32931,,,,,,,,,
Connecticut,CT,Varicella,NN,NN,NA,NA,NA,NA,NN,NN,1699,1821,1582,NN,,,,,,,,,
Maine,ME,Varicella,1733,711,NA,NA,NA,NA,45,1270,146,792,1012,NN,,,,,,,,,
Massachusetts,MA,Varicella,6619,5903,NA,NA,NA,NA,427,195,1093,2290,1993,NN,,,,,,,,,
New Hampshire,NH,Varicella,1635,3408,NA,NA,NA,NA,NN,NN,NN,0,0,NN,,,,,,,,,
Rhode Island,RI,Varicella,2668,1654,NA,NA,NA,NA,25,12,9,12,5,NN,,,,,,,,,
Vermont,VT,Varicella,NN,NN,NA,NA,NA,NA,NN,NN,149,799,930,NN,,,,,,,,,
New Jersey,NJ,Varicella,NN,NN,NA,NA,NA,NA,NN,NN,NN,0,0,NN,,,,,,,,,
New York (exc NYC),NY,Varicella,NA,NN,NA,NA,NA,NA,NN,NN,NN,NN,0,NN,,,,,,,,,
New York (inc NYC),NY,Varicella,NA + 4773,NN + 5978,NA,NA,NA,NA,NN,NN,NN,NN+0,0,NN,0,0,0,0,0,0,0,0,0
