state,latitude,longitude,postal,disease,Cases in 1993,Cases in 1994,Cases in 1995,Cases in 1996,Cases in 1997,Cases in 1998,Cases in 1999,Cases in 2000,Cases in 2001,Cases in 2002,Cases in 2003,Cases in 2004,Cases in 2005,Cases in 2006,Cases in 2007,Cases in 2008,Cases in 2009,Cases in 2010,Cases in 2011,Cases in 2012,Cases in 2013
Tennessee,35.74,-86.75,TN,Mumps,19,9,5,1,8,2,0,2,1,2,5,4,3,11,4,2,5,3,1,2,7
Tennessee,35.74,-86.75,TN,Pertussis,183,22,209,24,40,40,45,45,70,124,83,173,217,172,84,116,197,233,110,305,247
Texas,31.11,-97.65,TX,Measles,7,11,12,24,3,0,3,0,0,0,0,0,0,0,5,0,0,0,5,0,23
Texas,31.11,-97.65,TX,Mumps,231,234,43,44,75,42,35,27,14,15,18,23,25,58,21,20,40,121,68,15,13
Texas,31.11,-97.65,TX,Pertussis,121,160,217,151,233,288,152,327,615,1240,670,1184,2224,954,1051,2046,3358,2848,961,2218,3985
Utah,40.11,-111.85,UT,Measles,0,131,0,117,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,1,0
Utah,40.11,-111.85,UT,Mumps,6,28,11,3,8,5,4,7,1,7,5,2,7,5,1,4,4,3,0,3,2
Utah,40.11,-111.85,UT,Pertussis,45,37,37,26,29,297,58,47,78,115,127,276,618,779,387,242,220,352,645,1591,1308
Virginia,37.77,-78.21,VA,Measles,0,1,0,0,0,0,15,2,1,0,0,0,0,0,0,0,1,1,3,0,0
Virginia,37.77,-78.21,VA,Mumps,40,48,28,19,21,13,11,11,8,5,1,11,2,117,27,9,9,13,13,7,109
Virginia,37.77,-78.21,VA,Pertussis,75,37,31,108,59,56,65,134,272,168,219,400,363,221,128,198,222,384,399,625,418
Vermont,44.04,-72.71,VT,Measles,30,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Vermont,44.04,-72.71,VT,Mumps,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,2,0,1,0,1
Vermont,44.04,-72.71,VT,Pertussis,122,46,81,280,283,80,96,254,113,172,71,180,90,110,63,12,11,18,94,645,114
