id,name,adm1_code,num_employees_per_tenThousand_pop,num_businesses_per_tenThousand_pop,total_wages_dollars_per_100dollars_GDP,avg_weekly_wage,avg_annual_pay_thousands,civilianEmployees16,stateGDP_millions,num_employees,num_businesses,total_wages_thousands,total_wages_millions,avg_annual_pay
38,Pennsylvania,USA-3560,953.8062854,24.24291345,4.901232028,1126,58.553,5946480,677582,567179,14416,33209866,33209.866,58553
39,Rhode Island,USA-3539,798.2603322,32.14943621,3.964382224,1052,54.7,511362,56323,40820,1644,2232859,2232.859,54700
40,South Carolina,USA-3545,1132.644389,25.79236091,6.460857243,1063,55.27,2031997,196887,230153,5241,12720588,12720.588,55270
41,South Dakota,USA-3534,995.4769196,25.33958329,4.153830232,856,44.503,425816,45415,42389,1079,1886462,1886.462,44503
42,Tennessee,USA-3551,1145.44791,22.21168273,5.955798453,1083,56.311,2835895,307125,324837,6299,18291746,18291.746,56311
43,Texas,USA-3536,750.9342443,19.51052628,3.830627236,1369,71.189,11809010,1648007,886779,23040,63129005,63129.005,71189
44,Utah,USA-3526,922.0136973,29.6964652,4.323541722,1018,52.923,1299818,146697,119845,3860,6342506,6342.506,52923
45,Vermont,USA-3540,959.0085327,32.6124376,5.798571429,1063,55.29,325336,29750,31200,1061,1725075,1725.075,55290
46,Virginia,USA-3552,587.8671089,15.11441997,2.740114359,1086,56.469,3936638,476919,231422,5950,13068126,13068.126,56469
47,Washington,USA-3519,893.299549,22.73053129,4.75451024,1429,74.328,3194382,446096,285354,7261,21209680,21209.68,74328
48,West Virginia,USA-3554,634.2576673,17.16613982,3.695528873,1058,55.017,753227,71123,47774,1293,2628371,2628.371,55017
49,Wisconsin,USA-3553,1614.814493,32.29643011,8.431839809,1046,54.37,2852018,296971,460548,9211,25040119,25040.119,54370
50,Wyoming,USA-3527,336.5437383,21.47129843,1.479255663,1165,60.562,291552,40170,9812,626,594217,594.217,60562
