ID,METRO_AREA,Cities_Included,Rent_Income_Ratio_Raw,Rent_Income_Ratio_Rank,Transit_Raw,Transit_Rank,Food_Raw,Food_Rank,Bars_Raw,Bars_Rank,Museums_Raw,Museums_Rank,Sports_Raw,Sports_Rank,Annual_Income_Raw,Annual_Income_Rank,Monthly_Income_Raw,Monthly_Rent_Rank,Price_of_Weed_Raw,Price_of_Weed_Rank,Farmers_Markets_Raw,Farmers_Markets_Rank,Pet_Friendly_Raw,Pet_Friendly_Rank,LGBTQ_Friendly_Raw,LGBTQ_Friendly_Rank,Music_Rank,Music_Rank,Safety_Raw,Safety_Rank,Shopping_Raw,Shopping_Rank,Fitness_Raw,Fitness_Rank,Parks_Raw,Parks_Rank,,,Bike_Raw,Bike_Rank,Walk_Raw,Walk_Rank
22,"Pittsburgh, PA Metro Area",Pittsburgh,3.677862419,1,54.4,11,0,0,6.729144973,2,0,0,7,6,31865,28,2655.416667,1,371.22,48,0,0,0,0,0,0,21,21,70,18,0,0,54.6,5,61,17,,,39.9,38,59.8,14
15,"Seattle-Tacoma-Bellevue, WA Metro Area",Seattle,2.867760047,27,57,10,7,7,2.968656054,25,12,10,13,12,38818,7,3234.833333,40,252.34,6,2.54,6,2,2,6,5,14,14,44,4,24,23,48.12,14,71.5,8,,,63,12,70.8,8
16,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",Minneapolis,3.385189229,6,57.5,9,24,24,2.328465731,32,17,14,16,15,37210,9,3100.833333,21,333.31,27,0,0,20,16,20,15,5,5,24,1,0,0,54.14,6,84,1,,,81.3,1,65.4,11
20,"Baltimore-Columbia-Towson, MD Metro Area",Baltimore,2.987218814,22,57.8,8,27,27,3.240022515,22,0,0,29,28,40901,4,3408.416667,42,328.05,23,3.53,3,25,21,0,0,0,0,97,26,3,3,36.61,34,50,28,,,56.1,18,66.2,9
8,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",Miami,2.028829225,49,59.4,7,18,18,2.419185227,30,22,19,9,8,27657,49,2304.75,41,273.79,9,0,0,21,17,0,0,20,20,144,40,0,0,43.38,23,50,28,,,59.7,14,75.6,5
3,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Chicago,2.908835546,26,64.7,6,3,3,3.858108258,16,2,2,2,2,34173,13,2847.75,30,342.42,34,2.06,9,6,5,5,4,11,11,67,15,15,15,37.56,31,70,10,,,70.2,7,74.8,6
6,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",Philadelphia,3.013353116,19,66.8,5,9,9,4.096497052,13,3,3,21,20,36558,10,3046.5,35,334.54,29,3.08,5,12,11,28,19,17,17,78,21,6,6,41.71,26,62.5,14,,,67.5,9,76.5,4
7,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Washington D.C.,2.599785891,39,70.6,4,12,12,1.118480611,49,1,1,22,21,46141,1,3845.083333,49,358.89,39,5.31,1,24,20,15,10,0,0,73,20,0,0,44.26,21,81,2,,,71,5,74.1,7
10,"Boston-Cambridge-Newton, MA-NH Metro Area",Boston,2.738856987,33,74.4,3,11,11,1.996001935,36,4,4,1,1,40064,5,3338.666667,44,343.31,36,1.52,16,14,13,18,13,24,24,44,4,18,18,44.94,19,72.5,7,,,70.3,6,79.5,3
11,"San Francisco-Oakland-Hayward, CA Metro Area",San Francisco,2.430555556,44,80.4,2,4,4,3.567275322,18,6,6,5,5,42175,3,3514.583333,48,262.81,7,3.28,4,1,1,3,3,22,22,93,25,25,24,45.46,17,77.5,3,,,75.1,2,83.9,2
1,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",New York City,2.552835741,41,84.1,1,2,2,3.519475488,19,5,5,4,4,38170,8,3180.833333,45,362.86,41,1.86,12,8,7,2,2,7,7,55,8,22,21,30.22,45,76.5,4,,,66.3,11,87.6,1
46,"Hartford-West Hartford-East Hartford, CT Metro Area",Hartford,3.269430486,12,0,0,0,0,2.202294904,35,0,0,0,0,39037,6,3253.083333,32,330.53,25,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
38,"Providence-Warwick, RI-MA Metro Area",Providence,3.079284369,17,0,0,0,0,5.576058781,7,0,0,0,0,32702,19,2725.166667,18,310.7,19,0,0,0,0,13,8,18,18,52,6,0,0,0,0,0,0,,,0,0,0,0
23,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Charlotte,3.070936639,18,0,0,35,34,1.754614415,42,0,0,23,22,31213,34,2601.083333,14,332.07,26,0.99,23,0,0,0,0,0,0,107,31,11,11,32.34,41,31,44,,,36.1,42,24.4,46
41,"Memphis, TN-MS-AR Metro Area",Memphis,2.936666667,25,0,0,22,22,1.181511095,48,0,0,0,0,29954,45,2496.166667,15,339.5,32,1.07,21,0,0,0,0,8,8,0,0,23,22,29.21,46,39,39,,,42.3,33,33,37
44,"Richmond, VA Metro Area",Richmond,2.863404689,28,0,0,0,0,1.541921769,46,0,0,0,0,33708,14,2809,31,357.28,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
45,"New Orleans-Metairie, LA Metro Area",New Orleans,2.785559175,29,0,0,1,1,8.339698026,1,8,8,8,7,30786,39,2565.5,23,340.26,33,0,0,0,0,0,0,3,3,0,0,0,0,36.05,35,57.5,22,,,60.1,13,56.3,18
50,"Salt Lake City, UT Metro Area",Salt Lake City,2.732045702,34,0,0,0,0,1.857810465,41,0,0,0,0,30129,44,2510.75,22,286.4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
40,"Jacksonville, FL Metro Area",Jacksonville,2.672372061,36,0,0,39,36,2.364852678,31,0,0,0,0,30914,37,2576.166667,27,297.61,16,0.94,26,0,0,0,0,0,0,141,39,9,9,38.49,30,38.5,40,,,39.5,40,25.5,45
